Layer,System,New_SEI_Hosts_or_Endpoint,Sizing_RAM,Sizing_CPU,Sizing_Storage_or_Capacity,Growth,Hosting,Direction,Protocol_Port,Status_or_Notes,Project,Zone,Component,Display_Order
Platform,CP Integration Hub,OCPQ shared OpenShift cluster - RD DEV namespace,4 GB,2,10GB,TBD,BBH OpenShift,Bidirectional,TBD,Exact namespace and pod sizing TBD,SEI,APPLICATION,INTEGRATION_HUB,
File System,CPHUB Landing Share,\\rdwebfs.testbbh.com\cphub$,Not Applicable,Not Applicable,20GB,TBD,BBH,Internal,TBD,Regional landing share,SEI,APPLICATION,FILE_SHARE,
Database,IMDS,dvlimdsdb.testbbh.com; dvlimdsapp.testbbh.com,62 GB,8,6 TB,Minimal Growth,BBH,Internal,Oracle JDBC port TBD,New SEI DEV environment,SEI,DATA,DATA_HUB,2
Database,PBDW,dvlpbdb1.testbbh.com; rtlodiapp3t.testbbh.com,62 GB,8,4 TB,Minimal Growth,BBH,Internal,TBD,New SEI DEV sizing populated as supplied,SEI,DATA,DATA_HUB,1
Consumer,Pivotal,QCWPIVDEVSEI2.testbbh.com; QCWPIVDEVSEI4.testbbh.com; QCWPIVDEVSEI5.testbbh.com,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,BBH,Outbound,TBD,Sizing populated as supplied,SEI,APPLICATION,CONSUMERS,
Consumer,CRD,Azure-hosted vendor application,Vendor Managed,Vendor Managed,Vendor Managed,TBD,Vendor Azure,Outbound,TBD,CRD sizing TBD,SEI,APPLICATION,CONSUMERS,
Consumer,Client Portal,dvltasap235.testbbh.com,12 GB,2,350 GB,TBD,BBH RHEL,Outbound,TBD,New SEI DEV host,SEI,APPLICATION,CONSUMERS,
Consumer,PORT,New PORT test instance,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,Bloomberg vendor,Outbound,TBD,Smaller than production limits,SEI,APPLICATION,CONSUMERS,
Platform,Momentum MFT,Momentum MFT engine,Not Applicable,Not Applicable,Not Applicable,TBD,BBH MFT,Internal,TBD,Moves drop zone to landing - rename-atomic,SHARED,DMZ,DATA_MOVEMENT,
Platform,PingFederate,ping-idp-01.bbh.com; ping-idp-02.bbh.com,TBD,TBD,TBD,TBD,BBH,Bidirectional,HTTPS 443,User SSO to SWP desktop; SAML/OIDC federation to SEI,SHARED,CORP,IDENTITY,
Platform,OCP Ingress,ocpq router - ops/admin route only,Not Applicable,Not Applicable,Not Applicable,TBD,BBH OpenShift,Inbound,HTTPS 443,Operations access only - users never traverse hub,SEI,APPLICATION,INTEGRATION_HUB,
Platform,Observability Stack,Splunk HEC; Vault; OIDC,TBD,TBD,TBD,TBD,BBH,Internal,8088,Hub telemetry and secrets,SHARED,CORP,IDENTITY,
Platform,CP Integration Hub,OCPQ shared OpenShift cluster - RD SIT namespace,4 GB,2,10GB,TBD,BBH OpenShift,Bidirectional,TBD,SIT mapped to RD,SEI,APPLICATION,INTEGRATION_HUB,
File System,CPHUB Landing Share,\\rdwebfs.testbbh.com\cphub$,Not Applicable,Not Applicable,20GB,TBD,BBH,Internal,TBD,DEV and SIT folder separation TBD,SEI,APPLICATION,FILE_SHARE,
Database,IMDS,qblimdsdb.testbbh.com; qblimdsapp.testbbh.com,62 GB,8,6 TB,Minimal Growth,BBH,Internal,Oracle JDBC port TBD,New SEI SIT environment,SEI,DATA,DATA_HUB,2
Database,PBDW,QALPBDB3.testbbh.com; qalodiapp3sei.testbbh.com; qalodidb3sei.testbbh.com,62 GB,8,4 TB,Minimal Growth,BBH,Internal,TBD,New SEI SIT environment,SEI,DATA,DATA_HUB,1
Consumer,Pivotal,QCWPIVAPMTRSEI.testbbh.com; QCWPIVSEIDB6.testbbh.com; QCWPIVINTSEI1.testbbh.com,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,BBH,Outbound,TBD,Sizing populated as supplied,SEI,APPLICATION,CONSUMERS,
Consumer,CRD,Azure-hosted vendor application,Vendor Managed,Vendor Managed,Vendor Managed,TBD,Vendor Azure,Outbound,TBD,CRD sizing TBD,SEI,APPLICATION,CONSUMERS,
Consumer,Client Portal,rdltasap235.testbbh.com,12 GB,2,350 GB,TBD,BBH RHEL,Outbound,TBD,New SEI SIT host,SEI,APPLICATION,CONSUMERS,
Consumer,PORT,New PORT test instance,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,Bloomberg vendor,Outbound,TBD,Smaller than production limits,SEI,APPLICATION,CONSUMERS,
Platform,Momentum MFT,Momentum MFT engine,Not Applicable,Not Applicable,Not Applicable,TBD,BBH MFT,Internal,TBD,Moves drop zone to landing - rename-atomic,SHARED,DMZ,DATA_MOVEMENT,
Platform,PingFederate,ping-idp-01.bbh.com; ping-idp-02.bbh.com,TBD,TBD,TBD,TBD,BBH,Bidirectional,HTTPS 443,User SSO to SWP desktop; SAML/OIDC federation to SEI,SHARED,CORP,IDENTITY,
Platform,OCP Ingress,ocpq router - ops/admin route only,Not Applicable,Not Applicable,Not Applicable,TBD,BBH OpenShift,Inbound,HTTPS 443,Operations access only - users never traverse hub,SEI,APPLICATION,INTEGRATION_HUB,
Platform,Observability Stack,Splunk HEC; Vault; OIDC,TBD,TBD,TBD,TBD,BBH,Internal,8088,Hub telemetry and secrets,SHARED,CORP,IDENTITY,
Platform,CP Integration Hub,OCPQ shared OpenShift cluster - QC namespace,4 GB,2,10GB,TBD,BBH OpenShift,Bidirectional,TBD,Trial/UAT mapped to QC,SEI,APPLICATION,INTEGRATION_HUB,
